@attribute ROOM {2151,2152,2153,2123,2124,2131,2130,}

@data

45,49,66,0,83,61,84,45,49,67,83,0,61,85,70,0,0,70,0,80,56,0,85,57,85,0,0,0,0,0,71,0,0,71,0,0,82,0,82,0,0,0,0,0,0,0,0,2152
42,55,63,70,74,74,82,40,54,63,74,69,74,82,74,0,0,74,0,80,70,0,0,71,84,0,0,0,0,0,82,88,0,85,0,0,85,0,83,0,0,0,0,0,0,0,0,2152
38,48,77,70,85,70,86,37,48,77,85,69,69,85,64,0,0,64,0,79,62,0,0,62,84,0,0,80,0,0,77,0,0,77,0,0,83,0,79,0,0,0,0,0,0,0,0,2152
41,51,70,73,85,72,86,41,50,73,85,73,73,85,63,0,0,65,0,79,56,0,87,56,0,0,84,80,0,0,78,0,0,77,86,0,83,0,79,0,0,0,0,0,0,0,0,2152
40,50,71,74,87,72,85,40,51,73,87,75,72,84,64,0,0,64,0,0,58,0,88,58,86,0,84,0,0,0,79,0,0,78,86,0,0,0,0,0,0,0,0,0,0,0,0,2152
39,49,71,74,87,73,85,39,50,74,86,76,73,85,64,0,0,65,0,0,58,0,88,59,88,0,0,0,0,0,80,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,2152
36,66,72,76,82,66,83,36,67,72,82,76,66,82,69,0,0,69,0,86,55,0,88,55,88,0,0,80,0,0,80,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,2152
35,52,72,76,80,74,91,35,53,72,80,76,64,90,69,0,0,70,0,74,55,0,0,56,0,0,0,74,0,0,77,0,0,76,0,0,75,0,75,85,84,0,0,0,0,0,0,2152
43,53,74,0,78,68,91,42,54,73,79,0,78,90,66,89,90,68,90,82,64,0,79,64,80,0,0,77,0,0,77,0,0,78,0,0,75,0,75,85,84,83,0,0,0,0,0,2152
53,42,75,0,78,0,88,52,42,74,79,0,78,88,66,0,0,68,0,0,0,0,0,82,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2153
46,66,78,72,68,71,77,46,66,77,67,74,70,77,73,86,86,73,85,81,77,85,0,76,0,0,86,0,87,87,84,92,88,84,87,86,0,0,0,0,0,91,0,0,0,0,0,2153
56,53,85,72,68,76,89,56,54,85,67,74,76,90,73,0,0,73,0,0,81,88,0,82,0,0,86,0,0,0,73,90,0,74,87,86,72,0,72,0,0,0,0,0,0,0,0,2153
50,56,73,0,79,78,81,50,57,71,79,0,78,82,72,0,0,71,0,0,76,88,0,75,0,0,0,0,0,0,80,90,0,78,0,0,73,76,72,0,0,0,0,0,0,0,0,2153
37,55,76,70,85,75,88,37,57,76,85,69,74,89,62,0,0,65,0,0,75,0,0,84,0,0,0,76,0,0,84,0,0,86,90,90,0,77,0,0,0,87,0,0,0,0,0,2153
40,51,64,68,78,75,92,41,51,63,78,69,77,91,62,0,0,65,0,0,72,0,84,84,0,0,0,83,0,0,84,0,0,75,0,0,0,81,79,0,0,87,0,0,0,0,0,2153
49,57,65,59,76,71,75,49,57,65,76,59,73,75,0,91,88,0,88,76,76,0,84,75,0,0,0,83,82,83,76,0,84,77,0,0,0,81,79,0,0,0,0,0,0,0,0,2153
43,54,67,64,77,63,82,43,55,67,76,59,73,82,74,91,88,74,88,83,76,0,82,78,0,0,0,0,82,83,79,0,84,79,0,0,0,88,0,0,0,88,0,0,0,0,0,2153
44,58,67,66,77,63,82,44,57,67,76,65,0,82,75,0,0,75,0,80,75,0,82,75,86,0,0,0,0,0,81,0,0,79,0,0,0,88,0,0,0,87,0,0,0,0,0,2153
43,56,67,66,79,65,82,43,56,67,80,65,65,82,75,0,0,75,0,70,73,0,84,74,82,0,0,80,0,0,81,0,0,82,0,0,75,76,74,0,0,87,0,0,0,0,0,2153
44,56,66,64,76,65,82,44,55,65,76,0,65,82,75,0,0,75,0,70,74,0,84,74,82,0,0,80,0,0,81,0,0,80,0,0,75,76,74,0,0,87,82,0,0,0,0,2153
43,54,66,61,77,0,82,44,55,67,77,0,0,82,74,0,0,75,0,0,74,83,0,73,78,0,0,0,91,0,82,0,90,80,0,0,0,77,0,0,0,87,82,0,0,0,0,2153
41,56,73,61,87,0,84,41,56,73,88,0,0,84,75,0,0,76,0,78,77,77,82,75,78,0,0,0,91,0,82,77,90,80,0,0,0,77,0,0,0,85,0,0,0,0,0,2153
41,52,64,72,82,0,84,42,53,64,82,0,0,84,75,0,0,76,0,78,79,83,82,75,0,0,0,0,0,0,74,85,0,74,0,0,73,77,0,0,0,87,0,0,0,0,0,2153
63,63,0,0,86,77,0,63,62,0,86,0,78,0,82,0,0,82,0,81,84,83,81,84,79,0,0,81,0,0,0,82,0,0,0,0,0,75,0,0,0,85,0,83,0,0,0,2123
60,74,0,0,90,81,0,60,73,0,89,0,81,0,74,0,0,74,0,76,88,0,0,86,0,0,0,77,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,91,0,0,2124
59,70,0,0,93,83,0,59,71,0,93,0,84,0,79,0,0,82,0,76,88,0,0,86,0,0,0,77,0,0,0,88,0,0,0,0,0,76,0,0,0,0,0,0,91,0,0,2124
58,66,0,0,93,80,0,58,66,0,93,0,78,0,88,0,0,88,0,0,77,0,85,79,0,78,0,0,0,0,0,82,0,0,0,0,0,72,0,0,0,0,0,75,0,0,0,2124
52,72,0,0,0,80,0,52,72,0,0,0,78,0,85,0,0,86,0,80,77,0,75,79,75,76,0,0,0,0,0,83,0,0,0,0,0,72,0,0,0,0,0,75,0,0,0,2124
56,69,0,0,0,73,0,56,69,0,0,0,75,0,79,0,0,79,0,81,0,78,75,0,86,76,0,0,0,0,0,79,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,2124
52,69,0,0,0,80,0,51,71,0,0,0,80,0,84,0,0,84,0,81,77,78,0,78,86,0,0,0,0,0,0,79,0,0,0,0,0,76,0,0,0,0,0,85,0,0,0,2124
55,70,87,0,0,73,0,56,69,85,0,0,73,0,85,0,0,85,0,0,82,0,81,83,78,77,0,0,0,0,77,0,0,79,0,0,0,80,0,0,0,86,0,85,0,0,0,2124
55,64,0,0,0,85,0,55,64,0,0,0,83,0,70,0,0,70,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,74,0,0,0,2124
47,70,84,0,0,72,0,47,76,86,0,0,74,0,81,0,0,81,0,78,82,0,79,80,80,81,0,80,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,2124
46,76,84,0,0,75,0,47,74,88,0,0,75,0,81,0,0,81,0,78,79,83,79,78,80,77,0,77,0,0,0,84,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,2124
45,78,82,0,0,69,0,45,79,80,0,0,73,0,82,0,0,80,0,0,81,83,80,81,81,77,0,79,0,0,0,84,0,0,0,0,0,80,0,0,0,87,0,0,0,0,0,2124
42,60,83,0,87,71,0,42,62,83,88,0,75,0,83,0,0,84,0,81,65,0,80,65,81,0,0,84,0,0,0,81,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,2124
52,76,84,0,87,70,0,47,78,86,88,0,70,0,83,0,0,84,0,82,77,0,83,76,85,0,0,84,0,0,0,85,0,0,0,0,0,0,0,0,0,84,0,0,86,0,0,2124
41,72,88,0,0,63,0,42,70,86,92,0,63,0,74,0,0,75,0,81,70,72,83,69,80,80,0,69,0,0,0,83,0,0,0,0,0,0,0,0,0,77,0,0,89,0,0,2124
45,67,78,74,85,0,0,45,68,78,91,75,0,0,83,0,0,84,0,0,77,0,88,75,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2123
51,71,84,0,0,74,0,51,73,84,91,0,73,0,83,0,0,84,0,0,80,84,88,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,2123
46,76,84,0,93,71,0,46,77,84,92,0,70,0,85,0,0,86,0,0,81,84,0,82,0,0,0,88,0,0,0,83,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,2123
53,67,0,0,93,78,0,48,68,0,92,0,70,0,84,0,0,86,0,77,77,84,0,77,0,0,0,88,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2123
55,64,80,0,82,76,0,56,65,80,83,0,76,0,83,0,0,85,0,77,80,83,0,79,85,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2123
55,75,80,0,82,79,0,55,75,80,83,0,80,0,89,0,0,89,0,0,80,83,0,79,85,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2123
54,79,80,0,0,79,0,53,80,80,0,0,80,0,89,0,0,89,0,0,85,0,83,85,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2123
49,72,81,0,90,78,0,49,72,83,91,0,79,0,85,0,0,85,0,78,75,81,83,73,87,0,0,83,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,2123
51,75,79,0,0,78,0,51,74,78,0,0,80,0,87,0,0,86,0,0,80,81,84,81,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,82,88,2123
61,70,77,0,85,86,0,61,70,77,85,0,87,0,89,0,0,91,0,0,80,85,0,81,0,75,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,82,88,2123
59,72,87,78,89,78,89,58,71,88,91,80,77,89,71,0,0,72,0,0,82,0,81,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2131
61,74,85,0,89,73,0,61,75,85,91,0,74,0,89,0,0,87,0,0,82,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2131
55,72,78,0,90,74,0,55,72,79,90,0,75,0,89,0,0,87,0,0,82,0,0,81,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2131
51,69,84,0,87,77,0,51,69,84,87,0,77,0,78,0,0,80,0,85,78,0,0,78,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2131
48,75,85,0,87,72,0,47,73,87,87,0,71,0,84,0,0,84,0,85,78,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2131
49,69,85,0,0,72,0,49,69,87,0,0,79,0,88,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2131
53,74,85,0,0,79,0,53,75,84,0,0,79,0,85,0,0,85,0,0,79,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2131
56,72,80,0,90,75,0,56,72,80,92,0,76,0,92,0,0,89,0,0,80,88,0,82,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2131
56,69,82,0,90,75,0,56,68,83,92,0,74,0,86,0,0,86,0,0,81,88,0,82,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2131
52,69,82,0,0,74,0,53,69,83,0,0,75,0,86,0,0,86,0,0,81,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2131
54,71,0,0,0,72,0,55,72,0,0,0,72,0,86,0,0,88,0,0,76,82,0,78,88,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2131
49,69,0,0,0,76,0,49,69,0,0,0,76,0,84,0,0,83,0,0,81,82,0,80,88,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2131
46,73,82,0,0,75,0,47,73,83,0,0,73,0,85,0,0,84,0,0,78,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2131
49,66,81,0,90,77,0,49,68,82,88,0,76,0,85,0,0,84,0,0,79,0,92,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2131
57,75,81,0,90,74,0,58,76,81,88,0,76,0,85,0,0,85,0,0,79,0,92,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2131
50,70,81,0,90,72,0,50,71,82,90,0,73,0,82,0,0,84,0,0,79,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2131
50,78,90,0,90,74,0,50,78,77,89,0,74,0,84,0,0,84,0,0,80,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2131
52,73,80,0,82,74,0,52,74,80,86,0,75,0,78,0,0,78,0,0,86,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2131
49,72,0,0,90,72,0,49,73,0,90,0,72,0,89,0,0,89,0,0,84,0,0,73,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2131
54,67,79,0,88,70,0,53,67,80,88,0,70,0,89,0,0,89,0,0,76,0,90,77,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2131
43,67,79,0,92,64,0,42,68,80,88,0,64,0,85,0,0,85,0,0,78,0,90,78,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2131
51,72,84,85,88,76,0,50,71,84,88,0,76,0,85,0,0,85,0,0,78,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2131
44,63,80,85,88,67,0,45,63,79,88,0,67,0,78,0,0,78,0,0,77,0,85,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2131
44,73,80,0,0,64,0,44,73,79,0,0,65,0,82,0,0,82,0,0,77,0,85,77,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2131
41,63,88,76,77,67,82,42,63,69,75,75,68,82,74,0,0,76,0,0,75,84,87,75,85,0,0,81,0,0,84,0,0,82,0,0,0,0,83,0,0,0,0,0,0,0,0,2130
42,73,88,0,0,64,0,42,73,0,0,0,63,0,82,0,0,81,0,85,69,84,86,70,84,0,0,80,0,0,84,0,0,82,0,0,0,0,0,0,0,90,0,0,0,0,0,2130
34,66,78,0,0,63,0,34,64,83,0,0,63,0,74,0,0,74,0,85,76,0,86,73,84,0,0,80,0,0,83,84,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,2130
43,61,78,0,0,68,0,42,62,83,0,0,68,0,76,0,0,77,0,84,72,0,86,71,0,0,0,82,0,0,83,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2130
44,71,0,0,0,74,0,44,70,0,0,0,76,0,76,0,0,76,0,84,78,0,87,76,84,0,0,82,0,0,83,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,2130
35,66,81,0,0,70,0,35,66,84,0,0,70,0,76,0,0,76,0,0,77,0,87,79,84,87,0,0,0,0,83,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,2130
41,66,81,0,91,73,0,42,66,84,92,0,73,0,78,0,0,78,0,0,75,0,0,76,0,84,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,2130
53,69,0,0,91,69,0,53,67,0,92,0,69,0,78,0,0,78,0,0,78,0,0,77,0,84,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,2130
42,64,84,0,0,73,0,42,64,82,0,0,72,0,77,0,0,77,0,0,75,0,0,75,0,0,0,0,0,0,0,0,0,86,0,0,0,87,0,0,0,0,0,0,0,0,0,2130
51,70,90,0,88,73,0,51,69,83,88,0,71,0,70,0,0,71,0,0,75,0,0,78,0,0,0,0,0,0,82,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,2130
43,69,90,0,88,75,0,43,67,83,88,0,74,0,79,0,0,78,0,0,75,0,0,78,0,0,0,0,0,0,82,85,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,2130
48,63,0,0,0,69,0,48,64,0,0,0,69,0,77,0,0,78,0,0,81,0,0,81,0,0,0,81,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2130
46,65,88,0,0,68,93,46,66,0,93,0,67,0,81,0,0,79,0,0,77,84,0,76,0,0,0,81,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,2130
47,64,87,0,0,72,93,47,65,0,93,0,72,0,74,0,0,74,0,0,80,84,0,76,0,83,0,84,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,2130
