@attribute ROOM {2151,2152,2153,2124,2130,2131,2123,}

@data

0,0,0,0,0,70,0,0,0,0,70,54,88,53,88,73,73,0,0,85,0,0,0,0,87,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,2124
0,0,0,0,0,72,0,0,0,0,71,48,84,49,85,73,75,82,0,0,80,0,0,0,87,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,2124
0,87,0,0,0,61,0,0,81,0,62,55,84,55,85,73,75,82,0,85,80,85,0,0,85,0,0,0,0,0,0,0,0,86,0,93,0,0,0,0,0,0,2124
0,81,0,0,0,68,0,0,80,0,69,48,79,48,79,73,0,86,0,85,0,85,0,0,85,0,0,0,0,0,0,0,0,86,0,93,0,0,0,0,0,0,2124
0,0,0,0,0,70,0,0,0,0,70,41,81,41,81,76,77,78,0,0,81,0,0,0,0,0,0,0,0,76,77,85,78,85,78,0,0,0,0,76,0,0,2124
0,0,0,0,0,79,0,0,0,0,78,46,89,46,87,73,71,77,0,83,76,0,0,0,0,0,0,0,0,75,69,78,69,75,74,0,0,90,0,71,0,0,2124
0,0,0,0,0,71,0,0,0,0,72,36,89,39,87,62,62,62,0,76,65,0,0,0,78,0,0,0,0,82,71,78,72,81,74,0,0,90,0,71,0,0,2124
0,83,0,0,0,70,0,0,82,0,68,58,76,57,76,68,68,88,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2130
0,83,0,0,0,61,0,0,82,0,61,52,76,51,76,75,75,86,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2130
0,0,0,0,0,64,0,0,0,0,64,48,75,48,76,69,68,84,81,0,84,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2130
0,0,0,0,0,65,0,0,0,0,65,42,82,42,82,76,76,78,78,0,78,78,0,0,0,0,0,0,0,0,87,0,88,0,0,0,0,0,0,0,0,0,2130
0,0,0,0,0,66,0,0,0,0,65,52,78,51,81,73,73,86,81,0,85,79,0,84,0,0,0,0,0,0,87,0,88,0,0,0,0,0,0,0,0,0,2130
0,0,0,0,0,68,0,0,0,0,67,40,79,39,79,70,71,74,81,83,73,79,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2130
0,0,0,0,0,69,0,0,0,0,69,40,79,41,79,82,71,78,84,83,79,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2130
0,82,0,0,0,67,0,0,87,0,68,38,79,38,77,82,63,74,84,0,75,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2130
0,82,0,0,0,69,0,0,87,0,69,42,83,42,84,73,73,81,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2130
0,0,0,0,0,70,0,0,0,0,70,40,81,40,81,65,65,84,0,84,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2130
0,0,0,0,0,69,0,0,0,0,70,44,85,44,85,63,64,68,0,84,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2130
0,0,0,0,0,82,0,0,0,0,74,43,81,43,83,70,69,68,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2130
0,0,0,0,0,65,0,0,0,0,66,40,76,40,76,62,62,67,0,85,68,0,0,0,0,0,0,0,0,0,78,0,0,82,0,0,0,0,0,0,0,0,2130
0,80,91,0,0,69,0,91,80,0,69,49,83,49,83,69,70,84,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2131
0,81,0,0,0,65,0,0,79,0,66,44,81,44,81,70,69,84,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2131
0,88,0,0,0,72,0,0,83,0,72,47,84,47,84,75,67,79,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2131
0,79,0,0,0,70,0,0,78,0,70,46,84,46,84,72,73,83,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2131
0,79,0,0,0,73,0,0,78,0,73,49,81,50,80,70,71,83,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2131
0,0,0,0,0,73,0,0,0,0,73,53,82,52,85,69,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2131
0,0,0,0,0,71,0,0,0,0,68,47,84,46,83,66,65,76,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2131
0,78,92,0,0,73,0,91,78,0,74,58,85,58,85,76,77,76,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2131
0,84,92,0,0,78,0,91,83,0,80,57,85,56,86,77,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2131
