@relation _tm450

@attribute 00:1b:11:a8:31:ec integer
@attribute 6c:aa:b3:39:d3:d8 integer
@attribute 6c:aa:b3:38:fa:1c integer
@attribute 6c:aa:b3:38:fa:18 integer
@attribute 6c:aa:b3:37:bb:18 integer
@attribute 6c:aa:b3:37:bb:1c integer
@attribute 6c:aa:b3:38:39:a8 integer
@attribute 84:18:3a:29:05:38 integer
@attribute 6c:aa:b3:79:d3:d8 integer
@attribute 6c:aa:b3:78:fa:1c integer
@attribute 6c:aa:b3:78:fa:18 integer
@attribute 6c:aa:b3:77:bb:18 integer
@attribute 6c:aa:b3:77:bb:1c integer
@attribute 6c:aa:b3:78:39:a8 integer
@attribute 84:18:3a:69:05:38 integer
@attribute 84:18:3a:28:fa:b8 integer
@attribute 14:30:c6:3e:e5:7c integer
@attribute 84:18:3a:68:fa:b8 integer
@attribute 6c:aa:b3:b8:fa:17 integer
@attribute 6c:aa:b3:3a:03:18 integer
@attribute 6c:aa:b3:ba:03:18 integer
@attribute 6c:aa:b3:7a:03:18 integer
@attribute 84:18:3a:29:0e:08 integer
@attribute 84:18:3a:69:0e:08 integer
@attribute 84:18:3a:2c:55:88 integer
@attribute 84:18:3a:6c:55:88 integer
@attribute 84:18:3a:29:05:3c integer
@attribute 84:18:3a:69:05:3c integer
@attribute 6c:aa:b3:38:39:ac integer
@attribute 6c:aa:b3:78:39:ac integer

@attribute ROOM {4041,4040,4039,4038,}

@data
50,48,0,49,80,0,0,0,49,0,49,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4039
0,41,0,61,59,0,0,67,44,0,61,58,0,0,66,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,4041
0,36,0,49,48,0,0,81,36,0,49,52,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4041
0,40,0,53,59,0,0,69,40,0,54,59,0,83,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4041
0,37,0,65,52,0,0,91,38,0,65,53,0,83,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4041
0,40,0,51,56,0,79,91,40,0,51,57,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4041
0,40,0,61,59,0,84,78,40,0,60,61,0,87,77,0,0,0,0,88,0,87,0,0,0,0,0,0,0,0,4041
48,58,63,53,83,0,83,71,58,63,54,86,0,83,70,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,4039
0,48,0,57,69,0,84,85,47,0,56,71,0,87,77,0,0,0,0,88,0,87,0,0,0,0,0,0,0,0,4040
46,47,65,56,83,0,77,67,45,65,55,81,0,77,68,75,0,77,0,0,0,0,85,85,0,0,0,0,0,0,4039
0,50,0,56,69,0,0,86,50,0,57,71,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4040
46,49,66,57,74,91,76,70,50,68,58,74,92,77,70,85,0,87,0,0,0,0,83,82,0,0,0,0,0,0,4039
0,47,0,56,73,0,0,86,46,0,55,73,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4040
48,47,66,68,72,91,76,77,46,66,68,74,92,0,77,82,0,82,66,0,0,0,83,82,0,0,0,0,0,0,4039
0,55,0,52,73,0,77,0,46,0,52,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4040
47,50,73,58,71,0,77,73,50,73,58,72,0,78,74,80,0,80,66,0,0,0,0,0,0,0,0,0,0,0,4039
0,48,0,61,72,0,80,0,47,0,62,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4040
50,43,67,54,77,0,80,72,44,67,54,78,0,78,71,80,0,80,0,0,0,0,0,0,0,0,0,0,0,0,4039
63,44,65,58,72,90,81,73,45,65,59,70,90,81,72,75,0,75,64,0,0,0,80,81,84,83,0,0,0,0,4040
0,48,0,60,72,0,79,0,48,0,59,73,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4040
57,36,68,73,71,90,81,73,36,68,73,73,90,81,72,75,0,76,64,0,0,0,80,81,84,83,0,0,0,0,4040
53,42,56,55,78,0,0,79,42,56,55,77,0,85,80,0,84,76,0,0,0,0,0,0,0,0,0,0,0,0,4040
0,45,0,51,67,0,73,0,45,0,51,66,0,72,81,0,0,0,0,0,0,0,0,0,0,0,0,0,94,92,4040
55,48,64,53,76,0,74,78,47,64,53,75,0,70,79,0,84,0,64,0,0,0,0,0,0,0,0,0,0,0,4040
0,51,0,52,67,0,73,0,51,0,52,66,0,72,81,0,92,0,0,0,0,0,0,0,0,0,0,0,94,92,4040
54,45,62,56,79,0,71,78,46,63,56,78,0,75,79,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,4040
0,57,0,57,73,0,0,0,57,0,58,73,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,4039
0,48,0,49,78,0,0,0,48,0,49,77,0,0,84,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,4039
0,44,0,59,78,0,0,0,45,0,59,77,0,81,84,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,4039
0,50,0,52,85,0,0,0,51,0,53,0,0,85,0,80,83,79,0,0,0,0,0,0,0,0,0,0,0,0,4039
0,51,0,57,85,0,86,0,50,0,57,81,0,86,0,80,90,79,0,0,0,0,0,0,0,0,0,0,0,0,4039
0,58,0,51,0,0,86,0,57,0,51,81,0,86,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,4039
0,46,0,65,76,0,0,81,45,0,64,76,0,0,81,85,0,81,0,0,0,0,0,0,0,0,0,0,0,0,4039
0,50,0,52,87,0,0,81,51,0,52,91,0,0,81,85,0,81,0,0,0,0,0,0,0,0,0,0,0,0,4039
0,51,0,64,72,0,93,79,50,0,63,72,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4039
0,48,0,53,72,0,93,84,49,0,54,72,0,0,84,82,0,81,0,0,0,0,0,0,0,0,0,0,0,0,4039
0,52,0,57,74,0,86,81,52,0,57,74,0,85,81,82,0,81,0,0,0,0,0,0,0,0,0,0,0,0,4039
0,58,0,49,79,0,80,82,57,0,49,81,0,82,82,0,87,0,0,0,0,0,0,88,0,0,0,0,0,0,4039
0,55,0,59,74,0,86,82,53,0,59,77,0,81,82,79,86,78,0,0,0,0,0,88,0,0,0,0,92,0,4039
0,52,0,50,87,0,76,0,52,0,50,77,0,77,0,81,80,82,0,0,0,0,0,0,0,0,0,0,86,86,4038
0,59,0,51,87,0,76,80,59,0,52,83,0,77,79,81,88,82,0,0,0,0,0,0,0,0,0,0,86,86,4038
0,51,0,44,0,0,0,80,51,0,44,83,0,0,79,0,81,0,0,0,0,0,0,0,0,0,0,0,85,87,4038
0,54,0,52,0,0,0,0,54,0,52,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,85,87,4038
0,53,0,55,0,0,75,84,53,0,54,0,0,75,82,0,79,0,0,0,0,0,0,0,0,0,0,0,86,86,4038
0,56,0,46,0,0,75,84,56,0,47,0,0,75,82,0,79,0,0,0,0,0,0,0,0,0,0,0,86,86,4038
0,47,0,52,0,0,75,80,46,0,52,0,0,75,83,83,83,0,0,0,0,0,0,0,0,0,0,0,89,90,4038
0,63,0,50,82,0,74,80,63,0,51,83,0,75,83,83,88,0,0,0,0,0,0,0,0,0,0,0,89,90,4038
0,58,0,63,79,0,81,0,61,0,63,78,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,4038
0,62,0,56,79,0,77,0,62,0,56,78,0,75,86,0,90,0,0,0,0,0,0,0,0,0,0,0,92,93,4038
0,46,0,58,69,0,78,87,46,0,58,70,0,79,79,0,0,87,0,0,0,0,0,0,0,0,87,86,0,0,4040
0,44,0,58,68,0,78,87,45,0,58,68,0,79,79,0,0,87,0,0,0,0,0,0,0,0,85,85,0,0,4040
0,56,0,59,74,0,78,0,56,0,59,74,0,80,0,0,0,0,0,0,0,0,0,0,0,0,88,88,0,0,4040
0,51,0,56,73,0,79,84,51,0,56,73,0,78,82,0,0,0,0,0,0,0,0,0,0,0,85,84,0,0,4040
0,43,0,60,61,0,84,81,44,0,64,62,0,84,82,0,0,0,0,0,0,0,0,0,0,0,85,86,0,0,4040
0,57,0,56,61,0,78,83,57,0,56,62,0,78,82,0,0,0,0,0,0,0,0,0,0,0,84,85,0,0,4039
0,56,0,53,78,0,78,83,58,0,53,77,0,78,82,0,0,85,0,0,0,0,0,0,0,0,86,86,0,0,4039
0,44,0,55,82,0,0,75,43,0,55,81,0,0,75,79,0,85,0,0,0,0,77,78,88,0,74,75,0,0,4039
0,42,0,59,71,0,85,84,42,0,59,71,0,84,83,79,0,0,0,0,0,0,80,81,90,0,75,75,0,0,4039
0,41,0,61,67,0,0,84,41,0,60,67,0,87,0,82,0,0,0,0,0,0,0,0,0,0,72,72,0,0,4039
0,45,0,48,80,0,75,78,45,0,48,67,0,75,77,77,0,0,0,0,0,0,0,0,0,0,75,74,0,0,4038
0,56,0,68,72,0,0,0,56,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,82,0,0,4038
0,57,0,59,83,0,71,77,56,0,58,81,0,72,77,0,0,0,0,0,0,0,83,0,0,0,75,75,0,0,4038
0,43,0,54,79,0,66,79,43,0,54,79,0,66,78,71,79,72,0,0,0,0,0,0,0,0,0,0,0,0,4038
0,61,0,52,88,0,78,88,61,0,52,81,0,76,88,0,0,0,0,0,0,0,83,0,0,0,90,90,0,0,4038
0,43,0,52,73,0,79,81,42,0,52,73,0,77,78,71,79,71,0,0,0,0,0,0,0,0,0,0,0,0,4038
0,65,0,42,88,0,76,80,65,0,42,0,0,75,81,0,0,0,0,0,0,0,0,0,0,0,87,89,85,84,4038
0,55,0,41,77,0,63,81,56,0,41,78,0,63,0,71,77,71,0,0,0,0,0,0,0,0,0,0,0,0,4038
0,55,0,51,0,0,79,81,55,0,51,0,0,75,81,81,0,84,0,0,0,0,87,86,0,0,80,80,92,90,4038
0,55,0,51,77,0,78,0,64,0,52,78,0,78,81,73,88,74,0,0,0,0,0,0,0,0,0,0,87,86,4038
0,49,0,44,75,0,69,0,49,0,44,75,0,69,81,73,80,74,0,0,0,0,0,0,0,0,0,0,87,86,4038
0,48,0,63,73,0,79,81,49,0,63,73,0,0,84,85,0,85,0,0,0,0,87,86,0,0,77,78,92,90,4039
0,26,0,61,63,0,0,73,33,0,61,64,0,0,73,80,0,80,0,0,0,0,0,0,0,0,70,70,0,0,4041
0,49,0,40,75,0,64,77,49,0,40,80,0,64,76,0,84,0,0,0,0,0,84,85,0,0,0,0,90,90,4038
0,38,0,60,64,0,0,84,37,0,62,65,0,0,84,80,0,80,0,0,0,0,0,0,0,0,87,86,0,0,4041
0,49,0,48,0,0,76,76,49,0,48,80,0,68,75,0,75,0,0,0,0,0,84,85,0,0,0,0,85,85,4038
0,57,0,52,64,0,77,84,56,0,52,64,0,77,84,0,0,0,0,0,0,0,86,81,0,0,87,86,0,0,4041
0,55,0,42,80,0,60,76,55,0,42,80,0,59,75,0,75,0,0,0,0,0,0,0,0,0,0,0,85,85,4038
0,40,0,54,69,0,86,78,41,0,53,69,0,87,79,0,0,0,0,0,0,0,86,81,0,0,77,77,0,0,4041
0,46,0,40,80,0,60,81,46,0,41,73,0,59,0,74,83,75,0,0,0,0,0,0,0,0,0,0,0,0,4038
0,46,0,57,70,0,86,78,46,0,58,71,0,87,79,0,0,0,0,0,0,0,0,0,0,0,89,89,0,0,4041
0,43,0,49,72,0,0,81,42,0,50,73,0,0,0,74,83,75,0,0,0,0,0,0,0,0,0,0,0,0,4038
0,40,0,63,53,0,87,76,41,0,64,53,0,92,76,84,0,86,0,90,88,91,0,0,0,0,74,74,0,0,4041
0,48,0,54,76,0,67,81,48,0,54,75,0,68,77,75,74,76,0,0,0,0,0,0,0,0,0,0,0,0,4039
0,42,0,52,78,0,0,74,42,0,52,79,0,0,75,0,85,80,0,0,0,0,0,0,0,0,0,0,0,0,4039
0,50,0,47,76,0,70,77,49,0,47,78,0,69,77,0,75,80,0,0,0,0,0,0,0,0,0,0,0,0,4039
0,52,0,45,73,0,72,77,52,0,45,74,0,71,79,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,4039
0,54,0,45,73,0,72,77,54,0,46,73,0,71,79,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,4039
0,52,0,43,71,0,76,0,52,0,43,70,0,72,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,4039
0,53,0,44,85,0,77,76,52,0,44,84,0,72,76,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,4039
0,45,0,42,78,0,77,77,45,0,42,79,0,0,76,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,4039
0,45,0,43,73,0,75,76,45,0,44,73,0,75,77,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,4039
0,51,0,42,76,0,69,76,51,0,42,75,0,69,77,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,4039
0,40,0,58,66,0,69,72,40,0,59,64,0,80,71,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,4040
0,41,0,69,60,0,0,71,42,0,63,59,0,80,71,80,0,82,0,0,0,0,0,0,0,0,0,0,0,0,4040
0,41,0,64,62,0,78,70,40,0,65,63,0,78,71,78,0,75,0,88,87,88,0,0,0,0,0,0,0,0,4040
0,40,0,62,70,0,78,71,40,0,62,70,0,78,71,78,0,75,0,88,87,88,0,0,0,0,0,0,0,0,4040
0,39,0,61,69,0,85,70,40,0,61,69,0,86,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4040
0,39,0,60,69,0,85,69,39,0,61,69,0,86,69,72,0,71,0,90,0,88,0,0,0,0,0,0,0,0,4040
0,39,0,61,69,0,0,69,39,0,61,69,0,0,70,81,0,71,0,90,0,88,0,0,0,0,0,0,0,0,4040
0,38,0,62,65,0,0,69,39,0,62,68,0,0,71,78,0,75,0,0,0,0,0,0,0,0,0,0,0,0,4040
0,45,0,65,61,0,0,75,45,0,64,61,0,0,76,72,0,74,0,0,0,0,0,0,0,0,0,0,0,0,4040
0,41,0,59,60,0,0,75,41,0,59,60,0,81,74,72,0,79,0,0,0,0,0,0,0,0,0,0,0,0,4040
0,35,0,65,49,0,87,75,36,0,65,49,0,84,74,71,0,73,0,83,0,0,0,0,0,0,0,0,0,0,4041
0,26,0,52,60,0,87,0,33,0,52,60,0,84,77,71,92,73,0,83,0,0,0,0,0,0,0,0,0,0,4041
0,23,0,53,61,0,0,0,23,0,53,61,0,0,75,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,4041
0,23,0,53,64,0,0,74,23,0,53,64,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4041
0,23,0,53,61,0,0,74,24,0,53,61,0,0,76,82,0,83,0,0,0,0,0,0,0,0,0,0,0,0,4041
0,24,0,53,62,0,0,75,24,0,53,60,0,0,75,82,0,81,0,86,84,85,0,0,0,0,0,0,0,0,4041
0,25,0,52,61,0,0,78,25,0,52,61,0,0,79,78,81,79,0,86,84,85,0,0,0,0,0,0,0,0,4041
0,25,0,51,62,0,0,77,24,0,52,63,0,0,78,78,81,79,0,0,0,0,0,0,0,0,0,0,0,0,4041
0,25,0,51,62,0,0,76,25,0,52,62,0,0,77,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,4041
0,25,0,52,63,0,74,79,25,0,51,62,0,74,78,81,85,80,0,0,0,0,0,0,0,0,0,0,0,0,4041
0,33,0,59,65,0,74,70,34,0,59,68,0,74,72,81,85,80,0,0,0,0,0,0,0,0,0,0,0,0,4041
