@relation _tm450

@attribute 6c:aa:b3:39:d3:d8 integer
@attribute 00:1b:11:a8:31:ec integer
@attribute 6c:aa:b3:38:fa:18 integer
@attribute 6c:aa:b3:37:bb:18 integer
@attribute 84:18:3a:29:05:38 integer
@attribute 6c:aa:b3:79:d3:d8 integer
@attribute 6c:aa:b3:78:fa:18 integer
@attribute 6c:aa:b3:77:bb:18 integer
@attribute 84:18:3a:69:05:38 integer
@attribute 6c:aa:b3:78:39:a8 integer
@attribute 84:18:3a:28:fa:b8 integer
@attribute 84:18:3a:29:0e:08 integer
@attribute 14:30:c6:3e:e5:7c integer
@attribute 84:18:3a:2c:55:88 integer
@attribute 84:18:3a:68:fa:b8 integer
@attribute 84:18:3a:69:0e:08 integer
@attribute 84:18:3a:6c:55:88 integer
@attribute 6c:aa:b3:38:39:a8 integer
@attribute 6c:aa:b3:7a:03:18 integer
@attribute 6c:aa:b3:3a:03:18 integer
@attribute 6c:aa:b3:38:39:ac integer
@attribute 6c:aa:b3:78:39:ac integer
@attribute 6c:aa:b3:79:e1:a8 integer
@attribute 00:0e:8f:18:9a:93 integer

@attribute ROOM {4041,4040,4039,4038,4005,4023,4022,4006,4007,}

@data
59,53,54,78,0,58,54,77,0,85,0,0,72,0,0,0,0,86,0,0,0,0,0,0,4023
64,49,57,77,0,63,56,77,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,4023
61,55,62,80,0,61,61,79,0,86,0,0,77,0,0,0,0,0,0,0,0,0,0,0,4023
57,51,54,80,85,58,55,80,87,86,0,0,70,0,0,0,0,0,0,0,0,0,0,0,4023
61,50,62,75,85,61,60,76,87,85,0,0,81,0,0,0,0,85,0,0,0,0,0,0,4023
55,52,67,76,0,55,60,76,0,85,0,0,79,0,0,0,0,85,0,0,0,0,0,0,4023
61,55,56,79,0,59,54,80,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,4023
58,52,55,80,0,59,55,83,0,83,0,0,72,0,0,0,0,84,0,0,0,0,0,0,4023
58,55,57,82,0,58,57,81,0,83,0,0,76,0,0,0,0,84,0,0,0,0,0,0,4023
56,50,55,83,0,57,53,81,0,81,0,0,72,0,0,0,0,0,0,0,0,0,0,0,4023
56,52,63,83,0,56,55,81,0,75,0,0,68,0,0,0,0,77,0,0,0,0,0,0,4023
59,60,58,80,88,59,59,84,0,74,0,0,73,0,0,0,0,73,0,0,0,0,0,0,4023
56,58,66,78,0,56,66,79,0,75,0,0,84,0,0,0,0,75,0,0,0,0,0,0,4022
46,61,63,79,0,46,63,75,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,4022
52,53,60,74,0,52,59,76,0,88,0,0,78,0,0,0,0,85,0,0,0,0,0,0,4022
59,58,61,76,0,59,60,76,0,88,0,0,78,0,0,0,0,85,0,0,0,0,0,0,4022
50,53,61,76,0,50,61,76,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,4022
50,50,56,73,0,50,56,73,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,4022
48,56,60,75,0,48,60,76,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,4022
58,54,63,74,0,59,59,75,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,4022
50,56,63,77,0,50,61,76,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,4022
46,54,61,74,0,46,61,75,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,4022
52,52,64,80,0,48,64,75,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,4022
58,43,54,79,0,59,55,79,94,87,0,0,85,0,0,0,0,88,0,0,0,0,0,0,4006
55,40,57,77,0,54,59,74,94,85,0,0,80,0,0,0,0,87,0,0,0,0,0,0,4006
55,41,54,80,0,56,53,80,0,85,0,0,80,0,0,0,0,87,0,0,0,0,0,0,4006
53,41,60,78,0,62,59,79,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,4006
67,40,50,78,0,67,52,79,0,0,0,0,77,0,0,0,0,86,0,0,0,0,0,0,4006
69,46,65,0,0,69,65,0,0,0,0,0,82,0,0,0,0,86,0,0,0,0,0,0,4006
53,43,58,75,0,53,59,72,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,4006
54,45,60,79,0,54,60,80,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,4006
54,40,66,78,0,54,67,79,0,86,0,0,87,0,0,0,0,85,0,0,0,0,0,0,4006
51,49,80,78,0,51,67,72,0,88,0,0,83,0,0,0,0,87,0,0,0,0,0,0,4007
48,43,64,73,0,49,62,72,0,88,0,0,86,0,0,0,0,87,0,0,0,0,0,87,4007
51,45,63,69,0,51,64,70,0,84,0,0,88,0,0,0,0,84,0,0,0,0,0,87,4007
56,46,70,79,89,56,70,79,92,84,0,0,87,0,0,0,0,90,0,0,0,0,0,0,4007
51,45,62,70,89,52,63,70,92,87,0,0,86,0,0,0,0,90,0,0,0,0,0,0,4007
57,44,65,75,0,58,66,74,0,87,0,0,81,0,0,0,0,88,0,0,0,0,0,0,4007
53,42,67,69,0,53,66,69,0,0,0,0,81,0,0,0,0,88,0,0,0,0,0,0,4007
47,48,63,69,0,47,64,69,90,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,4007
49,45,60,77,0,48,60,77,90,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,4007
46,49,70,71,0,46,70,70,0,84,0,0,80,0,0,0,0,84,0,0,0,0,0,0,4007
