@attribute ROOM {2151,2152,2153,2130,2131,2123,2124,}

@data

79,79,79,69,77,68,33,49,71,62,34,49,71,63,67,67,0,0,77,79,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,83,91,0,0,0,0,2152
90,89,0,77,84,78,42,52,71,59,42,54,70,59,61,65,0,0,79,81,0,0,0,0,0,0,0,0,92,0,0,0,0,87,91,81,0,91,0,0,0,2152
0,0,85,79,84,78,49,57,55,78,49,57,55,77,74,74,0,0,87,87,0,0,0,0,0,0,0,77,79,0,0,0,0,84,83,76,78,0,0,0,0,2153
0,0,85,79,84,78,53,54,55,78,53,56,55,77,74,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2153
0,0,0,79,0,79,53,56,65,83,52,56,65,83,73,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2153
0,0,0,68,0,68,42,52,68,79,44,53,68,80,67,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,2153
0,0,74,72,74,72,45,48,73,83,44,48,72,0,69,70,73,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2153
0,0,0,76,0,76,45,46,73,0,58,45,72,0,82,70,71,65,69,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2153
92,91,76,74,76,75,49,50,67,81,49,51,67,80,71,0,82,83,69,79,0,0,0,0,0,0,0,0,85,0,80,0,0,0,0,85,0,0,0,0,0,2153
92,91,68,65,67,65,45,54,72,81,44,56,73,80,74,75,82,82,0,79,0,0,0,0,0,0,0,0,85,0,80,0,0,0,86,85,0,0,0,0,0,2153
84,84,68,75,67,76,52,62,72,79,52,63,71,79,76,84,82,82,0,81,0,0,0,0,0,0,0,86,86,0,0,0,86,85,88,86,85,93,0,0,0,2153
0,0,0,86,0,87,58,73,81,86,59,74,81,86,74,75,87,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2130
0,0,0,0,0,0,56,73,0,76,57,74,0,76,80,79,87,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2130
0,0,0,80,0,81,43,62,0,81,43,63,0,81,80,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2130
0,0,0,80,0,81,56,72,79,81,58,72,79,81,76,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2130
0,0,0,0,0,85,51,71,77,0,51,72,78,0,70,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,0,0,0,0,0,0,2130
0,0,0,0,0,85,48,68,76,91,48,72,75,80,71,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,0,0,0,0,0,0,2130
0,0,0,0,0,0,48,70,82,75,48,70,81,75,71,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2130
0,0,0,81,0,82,40,73,77,75,41,75,76,74,64,65,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,93,0,0,80,0,0,0,0,2130
0,0,85,0,86,0,50,73,84,73,50,72,83,77,74,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2131
0,0,0,84,0,84,54,75,81,0,54,74,82,0,75,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2131
0,0,0,80,0,82,50,77,80,0,50,76,80,0,80,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2131
0,0,0,80,0,88,58,75,78,0,58,74,82,0,83,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2131
0,0,0,0,0,88,50,78,85,77,51,80,84,78,83,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2131
0,0,0,0,0,0,54,73,84,77,54,72,85,78,80,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2131
0,0,87,0,0,0,55,77,85,0,56,77,86,84,75,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2131
0,0,88,83,0,84,55,73,78,0,55,73,78,84,75,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2131
0,0,0,90,0,90,62,72,85,0,62,71,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,83,0,0,0,0,2123
0,0,0,81,88,81,56,78,83,0,57,77,81,0,80,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,83,0,0,0,0,2123
0,0,0,81,88,81,58,72,83,0,58,72,81,0,80,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,2123
0,0,0,81,0,81,54,76,79,82,59,76,79,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,2123
90,89,0,81,0,81,46,71,79,84,46,70,79,85,73,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2123
90,89,84,79,82,80,57,76,78,84,58,76,78,85,78,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2123
0,0,84,86,82,85,53,75,79,84,54,75,81,85,78,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,2123
95,93,0,90,0,86,58,67,79,77,58,67,81,77,76,76,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,90,0,0,0,0,0,2123
85,86,85,83,85,83,55,70,79,77,55,70,79,77,68,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,2123
0,0,0,80,0,80,40,73,74,70,40,73,74,70,75,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,77,78,84,84,0,0,2124
0,0,0,80,0,80,50,75,82,81,51,74,83,79,75,75,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,81,0,0,77,78,84,84,80,0,2124
0,0,0,0,0,0,48,70,76,78,49,69,77,79,70,70,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,81,0,0,0,90,0,0,80,0,2124
0,0,0,0,0,0,47,71,78,85,47,73,78,84,70,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,90,0,0,0,0,2124
0,0,0,0,0,0,55,71,76,81,55,69,76,80,74,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,80,0,0,0,0,0,2124
0,0,0,0,0,0,60,77,81,78,60,77,84,78,74,74,0,0,90,0,0,0,0,0,0,0,0,0,81,0,83,0,71,82,84,80,78,0,88,0,79,2124
0,0,0,83,0,85,56,69,72,80,54,71,72,80,78,78,0,0,90,0,0,0,0,0,0,0,0,0,81,0,83,0,71,82,84,0,84,0,88,0,79,2124
0,0,0,83,0,83,49,69,76,80,50,69,76,80,79,80,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,84,0,0,0,0,2124
