@relation _tm450

@attribute 6c:aa:b3:39:0b:bc integer
@attribute 6c:aa:b3:79:0b:bc integer
@attribute 6c:aa:b3:39:0b:b8 integer
@attribute 6c:aa:b3:79:0b:b8 integer
@attribute 6c:aa:b3:37:90:d8 integer
@attribute 6c:aa:b3:38:6a:58 integer
@attribute 6c:aa:b3:77:90:d8 integer
@attribute 6c:aa:b3:78:6a:58 integer
@attribute 6c:aa:b3:37:d1:28 integer
@attribute 6c:aa:b3:77:d1:28 integer
@attribute 84:18:3a:2c:6b:88 integer
@attribute 84:18:3a:6c:6b:88 integer
@attribute 6c:aa:b3:37:d1:2c integer
@attribute 6c:aa:b3:38:86:e8 integer
@attribute 6c:aa:b3:77:d1:2c integer
@attribute 84:18:3a:2c:1b:c8 integer
@attribute 6c:aa:b3:78:86:e8 integer
@attribute 84:18:3a:6c:1b:c8 integer
@attribute 6c:aa:b3:37:c9:68 integer
@attribute 6c:aa:b3:77:c9:68 integer
@attribute 6c:aa:b3:3a:03:18 integer
@attribute e8:fc:af:88:91:78 integer
@attribute 6c:aa:b3:ba:03:18 integer
@attribute 6c:aa:b3:7a:03:18 integer
@attribute 84:94:8c:e2:01:f8 integer
@attribute 84:94:8c:e2:01:fa integer
@attribute bc:4d:fb:0b:17:e8 integer
@attribute 6c:aa:b3:ba:03:1c integer
@attribute 6c:aa:b3:7a:03:1c integer
@attribute 84:18:3a:2b:f2:e8 integer
@attribute 6c:aa:b3:13:23:f8 integer
@attribute 6c:aa:b3:53:23:f8 integer
@attribute 56:5a:04:09:26:9a integer
@attribute 02:23:08:60:36:48 integer
@attribute bc:4d:fb:0b:17:ea integer
@attribute 34:31:c4:0a:ea:d2 integer
@attribute 84:9c:a6:ca:83:0f integer
@attribute 64:66:b3:78:82:8b integer

@attribute ROOM {2151,2152,2153,2131,2130,2123,2124,}

@data
81,80,70,71,76,49,66,50,52,51,77,78,71,77,71,79,78,80,0,0,0,0,0,0,84,0,0,92,93,0,0,0,0,0,0,0,0,0,2153
0,0,0,0,88,51,0,51,69,70,75,75,83,79,84,0,77,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,2131
0,0,0,0,88,55,0,56,79,79,75,75,82,81,82,84,80,0,0,0,0,0,0,0,0,88,0,0,0,88,0,0,0,0,0,0,0,0,2130
0,0,0,0,0,55,0,57,69,67,78,77,80,82,80,79,84,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2130
0,0,0,0,0,49,0,49,69,69,70,72,78,81,81,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2130
0,0,0,0,0,51,0,51,65,64,70,72,82,79,81,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,85,84,0,0,0,0,0,0,2130
0,0,0,0,0,48,0,49,63,63,69,70,88,81,85,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,85,84,0,0,0,0,0,0,2130
0,0,0,0,82,48,83,48,63,63,76,80,80,73,80,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2130
0,0,0,0,82,49,82,49,73,73,72,72,78,79,79,78,78,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2130
0,0,0,0,82,46,82,46,65,65,71,72,81,69,81,85,68,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2130
0,0,0,0,0,36,0,38,71,72,71,72,78,76,77,85,75,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2130
0,0,0,0,80,41,78,40,67,66,72,71,72,72,72,86,73,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2130
0,0,0,0,81,47,81,47,68,69,75,73,84,73,84,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,2131
0,0,0,0,82,45,82,44,71,71,69,68,83,72,83,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,2131
0,0,0,0,82,45,82,45,73,73,72,75,78,75,77,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,2131
0,0,0,0,0,45,0,46,70,70,69,69,83,75,83,0,75,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,61,0,0,0,0,0,2131
0,0,0,0,0,63,0,63,70,70,71,71,91,81,89,0,81,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,65,0,0,0,0,0,2131
0,0,0,0,0,54,0,55,70,71,67,68,89,81,89,0,87,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,55,0,0,0,0,0,2131
0,0,0,0,81,53,78,53,74,75,75,74,87,77,85,0,78,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,54,0,0,0,0,0,2131
0,0,0,0,75,46,76,46,67,67,69,69,85,84,87,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,2131
0,0,0,0,83,46,85,47,67,67,81,78,82,84,82,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,2131
0,0,0,0,83,49,85,50,73,75,72,73,83,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,2131
0,0,0,0,0,58,0,58,71,70,75,76,83,84,83,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,2131
0,0,0,0,79,61,77,62,71,71,79,77,82,0,81,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,54,0,0,0,0,0,2123
0,0,0,0,80,59,78,59,67,68,78,79,83,84,82,0,85,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,47,0,0,0,0,0,2123
0,0,0,0,80,62,85,62,75,73,78,79,87,84,85,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,2123
0,0,0,0,0,66,85,67,75,73,79,79,89,0,89,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,44,0,0,0,0,0,2123
0,0,0,0,0,51,0,51,73,73,72,74,88,79,88,0,78,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,2123
0,0,0,0,85,60,84,60,78,80,81,83,89,79,90,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2123
0,0,0,0,85,54,84,55,72,72,78,78,89,0,90,0,84,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,2123
0,0,0,0,81,57,81,56,72,72,78,81,91,81,89,0,82,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,2123
0,0,0,0,85,50,82,50,67,67,77,79,91,81,89,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2123
0,0,0,0,83,52,81,53,68,68,70,71,0,81,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2123
0,0,0,0,83,51,81,51,73,73,72,72,85,84,85,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,2123
0,0,0,0,88,49,0,49,74,74,82,82,86,84,88,0,83,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,82,85,0,0,0,2123
0,0,0,0,79,43,78,43,71,71,73,73,84,75,84,0,75,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,85,0,0,0,2123
0,93,0,0,82,41,83,41,70,70,69,69,81,64,85,0,63,0,0,0,0,0,0,0,85,88,86,0,0,0,0,0,0,0,0,0,0,0,2124
0,0,0,0,0,41,0,40,71,71,68,69,76,67,76,86,67,0,0,0,0,0,0,0,85,88,0,0,0,0,0,0,0,0,0,0,0,0,2124
0,0,0,0,84,35,83,35,68,68,71,70,84,70,83,86,71,0,0,0,0,0,0,0,81,84,0,0,0,0,0,0,0,0,87,0,0,0,2124
0,0,0,0,84,43,83,43,77,78,75,78,77,72,79,0,73,0,0,0,0,86,0,0,81,84,0,0,0,0,0,0,0,0,87,85,0,0,2124
0,0,0,0,0,51,0,51,66,65,76,76,82,81,81,0,81,0,0,0,0,86,0,0,87,0,0,0,0,0,0,0,0,0,0,85,85,0,2124
0,0,0,0,0,44,0,44,69,66,75,77,82,80,81,0,79,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,80,82,0,2124
0,0,0,0,0,53,0,53,67,67,76,76,83,80,83,0,79,0,0,0,0,85,0,0,0,0,80,0,0,0,0,0,0,0,0,80,83,81,2124
0,0,0,0,0,44,0,45,69,70,76,77,77,0,77,0,0,0,0,0,0,85,0,0,0,0,80,0,0,0,0,0,0,0,83,80,82,81,2124
0,0,0,0,0,46,0,46,63,60,73,74,78,80,78,0,82,0,0,0,0,87,0,0,80,0,0,0,0,0,0,0,0,82,83,80,82,85,2124
0,0,0,0,0,57,0,57,71,72,80,81,82,81,85,0,80,0,0,0,0,87,0,0,80,0,0,0,0,0,0,0,0,82,0,0,81,85,2124
0,0,0,0,0,59,0,60,72,73,75,74,82,90,85,0,80,0,0,0,0,84,0,0,0,80,81,0,0,0,0,0,0,75,79,81,84,85,2124
0,0,0,0,0,54,0,54,60,60,84,74,75,86,75,0,0,0,0,0,0,84,0,0,0,80,81,0,0,0,0,0,0,75,79,81,84,0,2124
0,0,0,0,0,56,0,56,69,69,73,73,75,79,75,0,78,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,84,0,2124
