@relation _tm450

@attribute 6c:aa:b3:38:6a:58 integer
@attribute 6c:aa:b3:37:d1:28 integer
@attribute 6c:aa:b3:37:90:d8 integer
@attribute 6c:aa:b3:37:d1:2c integer
@attribute 6c:aa:b3:39:0b:bc integer
@attribute 6c:aa:b3:78:6a:58 integer
@attribute 6c:aa:b3:77:d1:28 integer
@attribute 6c:aa:b3:77:90:d8 integer
@attribute 6c:aa:b3:77:d1:2c integer
@attribute 6c:aa:b3:79:0b:bc integer
@attribute 6c:aa:b3:78:86:e8 integer
@attribute 6c:aa:b3:39:0b:b8 integer
@attribute 6c:aa:b3:38:86:e8 integer
@attribute 6c:aa:b3:79:0b:b8 integer
@attribute 84:18:3a:2c:6b:88 integer
@attribute e8:fc:af:88:91:78 integer
@attribute 84:18:3a:2c:1b:c8 integer
@attribute 84:18:3a:6c:6b:88 integer
@attribute 84:18:3a:6c:1b:c8 integer
@attribute 84:94:8c:e2:01:fa integer
@attribute 6c:aa:b3:37:c9:68 integer
@attribute 6c:aa:b3:ba:03:1c integer
@attribute 6c:aa:b3:7a:03:1c integer
@attribute 6c:aa:b3:3a:03:1c integer
@attribute 6c:aa:b3:7a:03:18 integer
@attribute 6c:aa:b3:77:c9:68 integer
@attribute 84:9c:a6:ca:83:0f integer
@attribute 02:23:08:60:36:48 integer

@attribute ROOM {2151,2152,2153,2131,2130,2123,2124,}

@data
36,53,72,51,92,35,53,79,55,92,66,76,67,74,66,0,78,66,80,0,0,0,0,0,0,0,0,0,2152
44,50,75,58,92,43,50,81,57,92,81,74,76,78,67,0,0,68,0,0,0,0,0,0,0,0,0,0,2153
42,51,77,64,0,44,50,76,64,0,77,68,78,67,69,0,0,68,0,0,0,0,0,0,0,0,0,0,2153
41,53,68,60,89,43,52,67,61,90,72,68,72,67,66,0,76,65,85,0,0,0,0,0,0,79,0,0,2153
43,63,0,79,0,43,63,0,80,0,85,0,83,0,77,0,0,78,0,0,0,0,0,0,0,0,0,0,2131
40,63,0,79,0,40,64,0,80,0,84,0,84,0,72,0,0,72,0,0,0,0,0,0,0,0,0,0,2130
46,69,0,78,0,46,68,0,79,0,0,0,0,0,72,0,82,73,80,0,0,0,0,0,0,0,0,0,2130
53,69,0,79,0,53,68,0,80,0,0,0,0,0,68,0,82,68,80,0,0,0,0,0,0,0,0,0,2130
48,64,0,0,0,47,63,0,0,0,84,0,82,0,77,0,0,80,0,0,83,0,0,0,0,83,0,0,2130
41,67,0,82,0,43,67,0,83,0,76,0,77,0,73,0,0,74,0,0,83,0,0,0,0,83,0,0,2130
39,71,0,83,0,40,70,0,85,0,78,0,79,0,72,0,0,73,0,0,0,0,0,0,0,0,0,0,2130
41,67,0,83,0,40,67,0,85,0,78,0,77,0,69,0,0,71,0,0,0,0,0,0,0,0,0,0,2130
39,63,0,79,0,39,62,0,80,0,69,0,70,0,69,0,0,68,0,0,0,0,0,0,0,0,0,0,2130
49,70,0,76,0,48,70,0,78,0,69,0,70,0,74,0,0,73,0,0,0,0,0,0,0,0,0,0,2130
41,67,0,82,0,41,66,0,82,0,80,0,81,0,62,0,0,62,83,0,0,0,0,0,0,0,0,0,2130
49,67,0,82,0,49,66,0,82,0,72,0,73,0,66,0,0,65,83,0,0,0,0,0,0,0,0,0,2130
42,68,0,84,0,42,68,0,83,0,67,0,67,0,65,0,0,63,0,0,0,0,0,0,0,0,0,0,2130
46,66,0,90,0,47,67,0,90,0,78,0,77,0,69,0,0,69,0,0,0,0,0,0,0,0,0,0,2131
43,64,0,86,0,43,64,0,87,0,76,0,73,0,74,0,0,74,0,0,0,0,0,0,0,0,0,0,2131
44,67,0,83,0,43,67,0,83,0,75,0,76,0,70,0,0,69,0,0,0,0,0,0,0,0,0,0,2131
41,67,0,80,0,42,67,0,80,0,73,80,73,80,69,0,0,67,0,0,0,0,0,0,0,0,0,0,2131
49,70,0,90,0,42,69,0,90,0,75,80,77,80,69,0,0,67,0,0,0,0,0,0,0,0,0,0,2131
