@attribute ROOM {2151,2152,2153,2130,2131,2123,2124,}

@data

70,71,84,84,67,50,50,72,54,76,75,56,74,73,72,76,0,0,82,82,82,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2153
73,73,84,84,58,48,48,59,42,80,75,42,80,73,73,73,0,0,76,76,72,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2153
72,74,90,88,62,43,43,62,47,80,73,47,80,73,67,69,0,0,72,73,73,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2153
82,81,0,0,84,46,45,85,69,78,0,69,79,0,74,73,0,0,0,0,81,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2130
82,81,0,0,84,50,48,85,66,81,0,66,83,0,75,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2130
0,0,0,0,78,49,50,77,69,77,0,72,76,0,75,76,0,0,0,0,87,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2130
0,0,94,90,75,45,45,74,77,79,0,78,79,0,70,70,0,0,0,0,87,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2130
0,0,94,90,75,46,46,76,72,83,0,71,81,0,71,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2130
0,0,0,0,81,43,43,80,69,72,0,70,74,0,67,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2130
0,0,0,0,81,45,45,80,67,73,0,68,73,0,76,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2130
0,0,0,0,77,37,38,78,69,72,85,70,73,0,70,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2130
0,0,0,0,83,44,45,84,74,72,0,73,74,0,70,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2131
75,74,85,85,75,39,39,76,43,66,72,43,67,72,74,75,0,0,75,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2151
0,0,0,0,77,58,58,81,72,83,0,72,84,0,73,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2131
79,76,88,86,64,43,43,64,49,0,72,51,77,74,78,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2151
0,0,0,0,82,53,53,82,78,81,0,78,81,87,73,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2131
74,74,85,84,63,53,53,63,61,68,76,62,68,76,78,77,0,0,0,0,80,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2151
0,0,0,0,84,52,52,84,75,86,0,75,86,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2131
61,61,85,84,70,43,43,70,52,68,76,51,68,76,0,0,0,0,0,0,80,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2151
83,0,0,0,91,51,51,90,72,86,0,72,86,0,80,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2131
67,68,73,73,74,53,54,74,63,77,64,62,78,64,78,0,0,0,0,0,87,87,0,0,74,79,0,75,0,0,0,88,88,89,0,0,0,0,0,0,0,0,0,0,2151
83,0,0,0,86,59,59,86,75,0,0,76,0,0,80,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2131
68,69,77,76,75,57,57,75,55,77,70,56,78,70,74,79,0,0,0,0,87,87,0,0,74,79,0,75,0,0,0,88,88,89,0,0,0,0,0,0,0,0,0,0,2151
0,0,0,0,78,58,58,78,73,0,0,73,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2131
78,80,88,88,72,44,44,72,47,71,70,48,73,70,66,66,0,0,0,0,78,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2151
83,82,0,0,82,49,49,82,73,86,0,74,82,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2131
68,67,78,77,75,49,49,74,56,76,69,57,77,68,75,66,0,0,0,0,82,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2151
61,61,73,74,73,48,48,74,59,80,63,60,80,68,75,0,87,87,0,0,82,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2151
0,0,0,0,82,59,59,82,78,0,0,78,0,0,81,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2123
74,76,85,86,68,41,42,68,56,77,76,56,78,77,61,62,87,87,80,0,82,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2151
0,0,0,0,89,64,63,92,71,0,0,72,0,0,81,80,0,0,0,0,0,0,0,0,0,0,0,0,0,80,82,0,0,0,0,0,0,0,0,0,0,0,0,0,2123
71,76,77,77,76,50,50,73,60,82,65,60,83,66,71,62,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,88,88,87,84,91,85,0,0,0,0,0,0,0,2151
80,81,0,0,84,58,58,83,69,81,0,70,79,0,80,79,0,0,0,0,0,0,0,0,0,0,0,0,0,80,82,0,0,0,0,0,0,0,0,0,0,0,0,0,2123
66,68,77,77,75,50,50,74,58,82,67,58,83,65,69,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,90,89,89,84,91,85,0,0,0,0,0,0,0,2151
80,83,0,0,84,49,49,83,75,81,0,77,79,0,75,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2123
71,72,87,88,74,48,50,73,49,73,67,49,72,65,69,0,0,0,0,0,81,0,83,0,0,0,0,78,0,0,0,90,89,89,0,0,0,0,0,0,0,0,0,0,2151
80,83,0,0,84,55,56,84,70,0,0,71,0,0,78,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,2123
76,76,87,88,73,43,44,74,57,81,70,56,81,69,77,77,0,0,0,0,81,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2151
0,0,0,0,84,51,51,84,78,75,0,78,75,0,79,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,2123
76,74,84,85,65,41,41,65,58,61,75,59,62,77,61,64,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2152
85,86,0,0,77,54,53,76,70,77,0,70,76,0,79,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,2123
71,71,83,84,64,23,23,63,53,65,76,53,64,75,59,61,0,0,0,0,80,0,70,0,0,0,0,0,0,86,84,0,0,0,0,0,0,84,0,0,0,0,0,0,2152
85,86,0,0,82,46,46,82,73,75,0,74,76,0,71,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2123
0,0,92,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2152
88,77,0,0,77,39,39,76,67,61,0,68,62,0,80,81,0,0,80,81,84,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2124
71,69,0,0,70,40,40,71,50,56,75,50,56,74,65,64,0,0,82,83,76,0,75,0,0,0,0,0,0,85,0,0,0,0,0,85,0,0,76,0,0,0,0,0,2152
88,0,0,0,86,42,42,88,75,81,0,75,82,0,75,75,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2124
77,78,91,90,70,40,41,70,54,70,80,55,69,79,69,69,0,84,0,0,78,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2152
0,0,0,0,72,42,43,73,64,79,0,64,77,0,70,70,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2124
70,70,89,90,78,34,34,78,47,58,0,46,58,0,64,79,0,84,81,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,2152
0,0,0,0,72,51,50,73,67,79,0,67,77,0,72,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2124
75,74,92,91,73,38,38,74,49,62,79,49,63,79,68,68,91,85,78,87,0,0,0,0,0,0,0,0,0,87,91,0,0,0,0,92,0,0,84,85,0,0,0,0,2152
0,0,0,0,84,50,50,85,78,78,0,81,77,0,75,75,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2124
70,70,89,89,0,35,35,0,50,64,79,50,64,79,63,63,91,85,83,81,77,0,78,0,0,0,0,0,0,87,91,0,0,0,0,90,0,0,84,85,0,0,0,0,2152
0,0,0,0,78,67,68,79,68,78,0,68,77,0,81,77,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2124
83,82,88,87,65,40,41,65,58,69,0,59,69,0,62,61,0,0,83,81,77,0,78,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,80,0,0,0,0,0,2152
0,0,0,0,78,59,58,78,75,80,0,76,80,0,81,77,0,0,0,0,84,0,85,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2124
